"County","State","Outbreak Date","Flock Type","Flock Size"
"Park","Montana","10-19-2023","WOAH Non-Poultry","3"
"Spink","South Dakota","10-19-2023","Commercial Turkey Meat Bird","34000"
"Shawnee","Kansas","10-19-2022","WOAH Poultry","120"
"Roberts","South Dakota","10-19-2022","Commercial Breeder Operation","3600"
"Sanpete","Utah","10-19-2022","Commercial Turkey Meat Bird","9400"
"Rockwall","Texas","10-19-2022","WOAH Non-Poultry","50"
"Redwood","Minnesota","10-18-2023","Commercial Turkey Meat Bird","8900"
"Blue Earth","Minnesota","10-18-2023","Commercial Turkey Meat Bird","11500"
"Sanpete","Utah","10-18-2022","Commercial Turkey Meat Bird","100800"
"Traill","North Dakota","10-18-2022","WOAH Non-Poultry","90"
"Indian River","Florida","10-18-2022","WOAH Non-Poultry","300"
"Jackson","Missouri","10-18-2022","WOAH Non-Poultry","40"
"York","Nebraska","10-18-2022","Commercial Upland Gamebird Producer","34900"
"St. Lucie","Florida","10-18-2022","WOAH Non-Poultry","6"
"Osceola","Florida","10-18-2022","WOAH Non-Poultry","20"
"Mcpherson","South Dakota","10-17-2023","Commercial Turkey Meat Bird","65000"
"King","Washington","10-17-2023","WOAH Non-Poultry","10"
"Becker","Minnesota","10-17-2023","Commercial Turkey Breeder Toms","2700"
"Faulk","South Dakota","10-17-2023","Commercial Turkey Meat Bird","49700"
"Nye","Nevada","10-17-2022","WOAH Poultry","1600"
"Adams","Pennsylvania","10-17-2022","Commercial Turkey Meat Bird","15100"
"Carter","Oklahoma","10-16-2023","WOAH Non-Poultry","80"
"Tulsa","Oklahoma","10-14-2022","WOAH Non-Poultry","30"
"Broward","Florida","10-14-2022","WOAH Poultry","300"
"Larimer","Colorado","10-14-2022","WOAH Non-Poultry","20"
"Matanuska Susitna","Alaska","10-14-2022","WOAH Poultry","1000"
"Pope","Arkansas","10-14-2022","WOAH Non-Poultry","470"
"La Plata","Colorado","10-14-2022","WOAH Non-Poultry","40"
"Flathead","Montana","10-13-2023","WOAH Non-Poultry","8"
"Golden Valley","North Dakota","10-13-2023","WOAH Non-Poultry","90"
"Meeker","Minnesota","10-13-2023","Commercial Turkey Meat Bird","71000"
"Warren","New Jersey","10-13-2022","WOAH Non-Poultry","6"
"Stanislaus","California","10-13-2022","Commercial Turkey Meat Bird","54900"
"Sanpete","Utah","10-13-2022","Commercial Turkey Meat Bird","100000"
"Saint Croix","Wisconsin","10-13-2022","WOAH Non-Poultry","20"
"Weld","Colorado","10-12-2023","WOAH Non-Poultry","30"
"Williams","North Dakota","10-12-2023","WOAH Non-Poultry","10"
"Weld","Colorado","10-12-2022","WOAH Non-Poultry","40"
"Fremont","Wyoming","10-12-2022","WOAH Non-Poultry","30"
"Hamlin","South Dakota","10-12-2022","WOAH Non-Poultry","20"
"Genesee","Michigan","10-12-2022","WOAH Non-Poultry","20"
"Beadle","South Dakota","10-12-2022","Commercial Turkey Meat Bird","71400"
"Sanpete","Utah","10-12-2022","Commercial Turkey Meat Bird","52800"
"Meeker","Minnesota","10-11-2023","Commercial Turkey Meat Bird","115000"
"Martin","Florida","10-11-2022","WOAH Non-Poultry","50"
"Broward","Florida","10-11-2022","WOAH Non-Poultry","40"
"Gregory","South Dakota","10-11-2022","Commercial Upland Gamebird Producer","200"
"Logan","Kentucky","10-11-2022","WOAH Non-Poultry","190"
"Lapeer","Michigan","10-11-2022","WOAH Poultry","40"
"Adams","Pennsylvania","10-11-2022","WOAH Poultry","2800"
"Glacier","Montana","10-10-2023","WOAH Poultry","77100"
"Boulder","Colorado","10-07-2022","WOAH Poultry","600"
"Neosho","Kansas","10-07-2022","WOAH Poultry","2000"
"Madison","Arkansas","10-07-2022","Commercial Broiler Breeder Pullets","56000"
"Lapeer","Michigan","10-07-2022","WOAH Poultry","100"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","26700"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","38900"
"Johnson","Kansas","10-07-2022","WOAH Poultry","6"
"Pope","Minnesota","10-07-2022","WOAH Non-Poultry","30"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","7600"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","134200"
"Brule","South Dakota","10-06-2022","Commercial Upland Gamebird Producer","500"
"Fayette","Kentucky","10-06-2022","WOAH Poultry","150"
"Hampton City","Virginia","10-06-2022","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Poultry","10"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Non-Poultry","40"
"Glacier","Montana","10-05-2022","WOAH Non-Poultry","1100"
"Monroe","Pennsylvania","10-05-2022","WOAH Non-Poultry","40"
"Berks","Pennsylvania","10-05-2022","WOAH Non-Poultry","10"
"New Haven","Connecticut","10-05-2022","WOAH Non-Poultry","50"
"Jerauld","South Dakota","10-04-2023","Commercial Turkey Meat Bird","47300"
"Westmoreland","Pennsylvania","10-04-2022","WOAH Non-Poultry","160"
"Monterey","California","10-04-2022","Commercial Duck Breeder","15100"
"Box Butte","Nebraska","10-04-2022","WOAH Non-Poultry","100"
"Bernalillo","New Mexico","10-04-2022","WOAH Non-Poultry","40"
"Del Norte","California","10-04-2022","WOAH Poultry","43000"
"York","Nebraska","10-04-2022","Commercial Upland Gamebird Producer","139500"
"Canyon","Idaho","10-03-2023","WOAH Non-Poultry","70"
"Portage","Ohio","10-03-2022","WOAH Non-Poultry","50"
"Calaveras","California","10-03-2022","WOAH Non-Poultry","20"
"Cache","Utah","10-03-2022","WOAH Non-Poultry","320"
"Stanislaus","California","10-03-2022","Commercial Turkey Meat Bird","51000"
"Tuscola","Michigan","10-03-2022","WOAH Poultry","140"
"Douglas","Oregon","09-30-2022","WOAH Non-Poultry","30"
"Nelson","North Dakota","09-30-2022","WOAH Non-Poultry","50"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19900"
"Mesa","Colorado","09-29-2022","WOAH Non-Poultry","40"
"York","Pennsylvania","09-29-2022","Commercial Turkey Meat Bird","25900"
"Dunn","Wisconsin","09-29-2022","Commercial Turkey Meat Bird","79500"
"Lancaster","Pennsylvania","09-29-2022","WOAH Non-Poultry","180"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19300"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","10"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","40"
"Sanpete","Utah","09-28-2022","Commercial Turkey Meat Bird","24400"
"Racine","Wisconsin","09-28-2022","Commercial Duck Meat Bird","10000"
"Ransom","North Dakota","09-27-2022","Commercial Turkey Meat Bird","69100"
"Goodhue","Minnesota","09-27-2022","WOAH Non-Poultry","80"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","36700"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","127200"
"Dallas","Texas","09-24-2022","WOAH Non-Poultry","60"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","10"
"Mcpherson","South Dakota","09-24-2022","Commercial Turkey Meat Bird","56900"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","30"
"Merrimack","New Hampshire","09-23-2022","WOAH Poultry","250"
"Anne Arundel","Maryland","09-22-2022","WOAH Non-Poultry","4"
"Todd","Minnesota","09-22-2022","WOAH Non-Poultry","50"
"Kingsbury","South Dakota","09-22-2022","WOAH Non-Poultry","250"
"Ward","North Dakota","09-22-2022","WOAH Poultry","60"
"Gooding","Idaho","09-21-2022","Commercial Upland Gamebird Producer","9000"
"Weld","Colorado","09-21-2022","Commercial Table Egg Layer","1150000"
"Roseau","Minnesota","09-21-2022","Commercial Turkey Meat Bird","116000"
"Otter Tail","Minnesota","09-21-2022","Commercial Turkey Meat Bird","5900"
"Sanpete","Utah","09-21-2022","Commercial Turkey Meat Bird","11100"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","23900"
"Brown","Minnesota","09-20-2022","Commercial Turkey Meat Bird","43000"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","41700"
"Stearns","Minnesota","09-20-2022","Commercial Turkey Meat Bird","64600"
"Fresno","California","09-20-2022","WOAH Non-Poultry","100"
"Sanpete","Utah","09-20-2022","Commercial Turkey Meat Bird","73200"
"Washington","Pennsylvania","09-20-2022","WOAH Poultry","1800"
"Macomb","Michigan","09-19-2022","WOAH Non-Poultry","40"
"Dawes","Nebraska","09-19-2022","WOAH Non-Poultry","40"
"Pierce","Washington","09-16-2022","WOAH Non-Poultry","30"
"Union","New Jersey","09-15-2023","Live Bird Market","520"
"Teton","Montana","09-15-2022","WOAH Poultry","2800"
"Obion","Tennessee","09-15-2022","WOAH Poultry","130"
"Summit","Ohio","09-15-2022","WOAH Non-Poultry","6"
"Bristol","Massachusetts","09-15-2022","WOAH Non-Poultry","50"
"Fresno","California","09-15-2022","Commercial Broiler Breeder","15900"
"Isanti","Minnesota","09-14-2022","WOAH Non-Poultry","4"
"Williams","Ohio","09-14-2022","WOAH Non-Poultry","60"
"Allen","Ohio","09-14-2022","WOAH Non-Poultry","2"
"Otter Tail","Minnesota","09-14-2022","Commercial Turkey Breeder Hens","7900"
"Meeker","Minnesota","09-14-2022","Commercial Turkey Meat Bird","61400"
"Freeborn","Minnesota","09-13-2022","WOAH Non-Poultry","320"
"Ingham","Michigan","09-13-2022","WOAH Poultry","20"
"Brown","Minnesota","09-13-2022","Commercial Turkey Meat Bird","43700"
"Sanpete","Utah","09-13-2022","Commercial Turkey Meat Bird","5800"
"Stearns","Minnesota","09-13-2022","Commercial Turkey Meat Bird","69400"
"Twin Falls","Idaho","09-12-2022","WOAH Non-Poultry","40"
"Becker","Minnesota","09-09-2022","Commercial Turkey Breeder Hens","17100"
"El Dorado","California","09-09-2022","WOAH Non-Poultry","150"
"Fresno","California","09-09-2022","Commercial Broiler Breeder","23900"
"Meeker","Minnesota","09-08-2022","Commercial Turkey Meat Bird","34200"
"Morrison","Minnesota","09-07-2022","Commercial Turkey Meat Bird","50200"
"Defiance","Ohio","09-03-2022","Commercial Table Egg Layer","3748500"
"Ashland","Ohio","09-03-2022","WOAH Non-Poultry","640"
"Washington","Wisconsin","09-02-2022","WOAH Poultry","120"
"Cass","North Dakota","09-01-2022","WOAH Non-Poultry","6"
"Elkhart","Indiana","09-01-2022","WOAH Poultry","260"
"Tuolumne","California","09-01-2022","Commercial Turkey Meat Bird","30800"
"Sacramento","California","09-01-2022","WOAH Non-Poultry","20"
"Fresno","California","09-01-2022","Commercial Broiler Breeder","22900"
"Hennepin","Minnesota","09-01-2022","WOAH Non-Poultry","10"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","126400"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","52000"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","7400"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","91000"
"Sacramento","California","08-30-2022","Commercial Turkey Meat Bird","97000"
"Caroline","Virginia","08-29-2022","WOAH Non-Poultry","110"
"Tuolumne","California","08-26-2022","Commercial Turkey Meat Bird","161700"
"Fresno","California","08-26-2022","Commercial Broiler Breeder","34800"
"Cowlitz","Washington","08-26-2022","WOAH Non-Poultry","20"
"Pierce","Washington","08-25-2022","WOAH Non-Poultry","70"
"Weber","Utah","08-24-2022","WOAH Non-Poultry","20"
"Contra Costa","California","08-23-2022","WOAH Non-Poultry","60"
"Henry","Georgia","08-22-2022","WOAH Non-Poultry","80"
"Fresno","California","08-22-2022","Commercial Broiler Breeder","33900"
"Kitsap","Washington","08-19-2022","WOAH Non-Poultry","10"
"Walla Walla","Washington","08-18-2022","WOAH Non-Poultry","2"
"Butte","California","08-16-2022","WOAH Non-Poultry","1100"
"Osceola","Florida","08-16-2022","WOAH Non-Poultry","10"
"Northampton","Pennsylvania","08-11-2022","WOAH Poultry","90"
"Sacramento","California","08-10-2022","WOAH Non-Poultry","40"
"Kings","New York","08-03-2023","Live Bird Market","800"
"Bethel","Alaska","08-02-2022","WOAH Non-Poultry","20"
"Kings","New York","07-28-2023","Live Bird Market","490"
"Coos","Oregon","07-28-2022","WOAH Non-Poultry","20"
"Flathead","Montana","07-26-2022","WOAH Non-Poultry","7"
"Jefferson","Washington","07-26-2022","WOAH Non-Poultry","80"
"Sanpete","Utah","07-26-2022","Commercial Turkey Meat Bird","12700"
"Kings","New York","07-25-2023","Live Bird Market","570"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","120"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","90"
"Seminole","Florida","07-21-2022","WOAH Non-Poultry","160"
"Deschutes","Oregon","07-21-2022","WOAH Poultry","60"
"Sanpete","Utah","07-19-2022","Commercial Turkey Meat Bird","23300"
"Snohomish","Washington","07-19-2022","WOAH Poultry","340"
"Deschutes","Oregon","07-19-2022","WOAH Poultry","100"
"Deschutes","Oregon","07-15-2022","WOAH Poultry","60"
"Sanpete","Utah","07-14-2022","Commercial Turkey Meat Bird","15500"
"Deschutes","Oregon","07-12-2022","WOAH Poultry","100"
"Carson City","Nevada","07-07-2022","WOAH Non-Poultry","40"
"Jefferson","Washington","07-06-2022","WOAH Non-Poultry","20"
"Linn","Oregon","07-06-2022","WOAH Non-Poultry","40"
"Kitsap","Washington","07-01-2022","WOAH Non-Poultry","6"
"King","Washington","07-01-2022","WOAH Poultry","220"
"Salt Lake","Utah","07-01-2022","WOAH Non-Poultry","20"
"Cumberland","Maine","06-29-2022","WOAH Non-Poultry","20"
"Yakima","Washington","06-29-2022","WOAH Non-Poultry","6"
"Pierce","Washington","06-24-2022","WOAH Non-Poultry","50"
"Snohomish","Washington","06-22-2022","WOAH Non-Poultry","200"
"Yakima","Washington","06-22-2022","WOAH Non-Poultry","90"
"King","Washington","06-22-2022","WOAH Non-Poultry","3"
"King","Washington","06-22-2022","WOAH Non-Poultry","9"
"Yakima","Washington","06-14-2022","WOAH Non-Poultry","30"
"Salt Lake","Utah","06-13-2022","WOAH Non-Poultry","70"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","9"
"Allen","Indiana","06-09-2022","WOAH Non-Poultry","40"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","30"
"Weld","Colorado","06-09-2022","Commercial Table Egg Pullets","205000"
"Yakima","Washington","06-09-2022","WOAH Non-Poultry","70"
"Polk","Oregon","06-08-2022","WOAH Non-Poultry","90"
"King","Washington","06-07-2022","WOAH Poultry","50"
"Weld","Colorado","06-07-2022","Commercial Table Egg Layer","1936800"
"Allen","Indiana","06-07-2022","WOAH Poultry","110"
"Mchenry","North Dakota","06-06-2022","WOAH Poultry","30"
"Snohomish","Washington","06-02-2022","WOAH Non-Poultry","30"
"Berks","Pennsylvania","06-02-2022","Commercial Duck Meat Bird","30100"
"Toombs","Georgia","06-01-2022","WOAH Non-Poultry","490"
"Becker","Minnesota","05-31-2022","WOAH Non-Poultry","40"
"Snohomish","Washington","05-27-2022","WOAH Non-Poultry","40"
"King","Washington","05-25-2022","WOAH Non-Poultry","20"
"King","Washington","05-24-2022","WOAH Non-Poultry","7"
"Ada","Idaho","05-24-2022","WOAH Non-Poultry","30"
"King","Washington","05-24-2022","WOAH Non-Poultry","180"
"Berks","Pennsylvania","05-23-2022","Commercial Duck Breeder","4700"
"Bayfield","Wisconsin","05-23-2022","WOAH Non-Poultry","40"
"Dakota","Minnesota","05-21-2022","Commercial Turkey Meat Bird","54400"
"Codington","South Dakota","05-20-2022","WOAH Poultry","80"
"Ada","Idaho","05-20-2022","WOAH Non-Poultry","7"
"Polk","Minnesota","05-20-2022","WOAH Non-Poultry","50"
"Campbell","Wyoming","05-20-2022","WOAH Non-Poultry","30"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","WOAH Poultry","70"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Jefferson","Colorado","05-19-2022","WOAH Non-Poultry","10"
"Allen","Indiana","05-19-2022","WOAH Non-Poultry","7"
"Ada","Idaho","05-19-2022","WOAH Non-Poultry","30"
"Rowan","North Carolina","05-18-2023","WOAH Non-Poultry","30"
"Phelps","Missouri","05-18-2023","WOAH Non-Poultry","80"
"Canyon","Idaho","05-18-2022","WOAH Poultry","6"
"Canyon","Idaho","05-18-2022","WOAH Poultry","160"
"Ada","Idaho","05-18-2022","WOAH Non-Poultry","6"
"Kandiyohi","Minnesota","05-18-2022","Commercial Turkey Breeder Toms","4700"
"Berks","Pennsylvania","05-18-2022","Commercial Duck Breeder","7200"
"Clay","Minnesota","05-18-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-18-2022","WOAH Non-Poultry","10"
"Lane","Oregon","05-17-2022","WOAH Poultry","450"
"Ada","Idaho","05-17-2022","WOAH Poultry","9"
"Salt Lake","Utah","05-17-2022","WOAH Non-Poultry","30"
"Monmouth","New Jersey","05-17-2022","WOAH Poultry","60"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Berks","Pennsylvania","05-17-2022","Commercial Table Egg Layer","79000"
"Boone","Illinois","05-17-2022","WOAH Non-Poultry","20"
"Ada","Idaho","05-17-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-17-2022","WOAH Non-Poultry","50"
"Burke","North Dakota","05-17-2022","WOAH Non-Poultry","50"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Thurston","Washington","05-17-2022","WOAH Non-Poultry","410"
"Dunn","Wisconsin","05-16-2022","WOAH Non-Poultry","150"
"Berks","Pennsylvania","05-14-2022","Commercial Table Egg Breeder","83700"
"Barron","Wisconsin","05-13-2022","Commercial Turkey Meat Bird","10500"
"Marinette","Wisconsin","05-13-2022","WOAH Non-Poultry","90"
"Canyon","Idaho","05-13-2022","WOAH Non-Poultry","9"
"Ada","Idaho","05-13-2022","WOAH Non-Poultry","60"
"Lincoln","Wyoming","05-13-2022","WOAH Non-Poultry","40"
"Sheridan","Wyoming","05-13-2022","WOAH Non-Poultry","20"
"Whatcom","Washington","05-12-2022","WOAH Non-Poultry","80"
"Ada","Idaho","05-12-2022","WOAH Non-Poultry","10"
"Grant","Minnesota","05-12-2022","WOAH Non-Poultry","310"
"Chisago","Minnesota","05-12-2022","WOAH Non-Poultry","40"
"Okanogan","Washington","05-12-2022","WOAH Non-Poultry","20"
"Nobles","Minnesota","05-11-2023","WOAH Non-Poultry","100"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Chisago","Minnesota","05-11-2022","WOAH Poultry","160"
"Pierce","Washington","05-11-2022","WOAH Non-Poultry","20"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-11-2022","WOAH Non-Poultry","4"
"Cache","Utah","05-11-2022","WOAH Non-Poultry","20"
"Crow Wing","Minnesota","05-10-2022","WOAH Poultry","150"
"Ada","Idaho","05-10-2022","WOAH Poultry","70"
"Lancaster","Pennsylvania","05-10-2022","Commercial Table Egg Layer","72300"
"Muskegon","Michigan","05-10-2022","Commercial Turkey Meat Bird","35100"
"Todd","Minnesota","05-10-2022","WOAH Non-Poultry","50"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Meat Bird","37300"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Breeder","23800"
"Pierce","Washington","05-10-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-09-2022","WOAH Poultry","50"
"Spokane","Washington","05-07-2022","WOAH Non-Poultry","80"
"Barron","Wisconsin","05-07-2022","Commercial Turkey Meat Bird","20100"
"Anoka","Minnesota","05-06-2022","WOAH Non-Poultry","10"
"Oakland","Michigan","05-06-2022","WOAH Non-Poultry","50"
"Fergus","Montana","05-06-2022","WOAH Non-Poultry","20"
"Posey","Indiana","05-05-2023","WOAH Non-Poultry","20"
"Pacific","Washington","05-05-2022","WOAH Poultry","40"
"Pierce","Wisconsin","05-05-2022","WOAH Non-Poultry","30"
"Linn","Oregon","05-05-2022","WOAH Non-Poultry","90"
"Hamlin","South Dakota","05-04-2022","WOAH Non-Poultry","20"
"Day","South Dakota","05-04-2022","WOAH Poultry","80"
"Carver","Minnesota","05-04-2022","WOAH Non-Poultry","30"
"Bremer","Iowa","05-04-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","19300"
"Chisago","Minnesota","05-03-2022","WOAH Non-Poultry","30"
"Polk","Wisconsin","05-03-2022","WOAH Non-Poultry","120"
"Kane","Illinois","05-03-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","46700"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Meat Bird","74300"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Breeder","29600"
"Fond Du Lac","Wisconsin","05-03-2022","WOAH Non-Poultry","20"
"Sauk","Wisconsin","05-03-2022","WOAH Non-Poultry","40"
"Beadle","South Dakota","05-03-2022","Commercial Turkey Meat Bird","56200"
"Lyon","Minnesota","05-03-2022","Commercial Turkey Meat Bird","120300"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","30"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","60"
"Sequoyah","Oklahoma","04-30-2022","Commercial Broiler Breeder","13800"
"Branch","Michigan","04-30-2022","WOAH Non-Poultry","20"
"Morrison","Minnesota","04-30-2022","WOAH Non-Poultry","50"
"Oconto","Wisconsin","04-29-2022","WOAH Non-Poultry","220"
"Washington","Nebraska","04-29-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","04-29-2022","WOAH Non-Poultry","150"
"Matanuska Susitna","Alaska","04-29-2022","WOAH Non-Poultry","30"
"Pondera","Montana","04-29-2022","WOAH Non-Poultry","2000"
"Weld","Colorado","04-29-2022","Commercial Table Egg Layer","1366200"
"Lancaster","Pennsylvania","04-29-2022","Commercial Duck Meat Bird","19300"
"Stearns","Minnesota","04-29-2022","Commercial Turkey Breeder Hens","9600"
"Gallatin","Montana","04-29-2022","WOAH Non-Poultry","20"
"Fergus","Montana","04-29-2022","WOAH Non-Poultry","110"
"Carver","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Wexford","Michigan","04-28-2022","WOAH Poultry","70"
"Caledonia","Vermont","04-28-2022","WOAH Non-Poultry","30"
"Barron","Wisconsin","04-28-2022","Commercial Turkey Meat Bird","110700"
"Swift","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Johnson","Indiana","04-28-2022","WOAH Non-Poultry","40"
"Republic","Kansas","04-27-2022","WOAH Poultry","110"
"Lancaster","Pennsylvania","04-27-2022","Commercial Broiler Breeder Pullets","18100"
"Knox","Nebraska","04-27-2022","Commercial Table Egg Layer","2118000"
"Saginaw","Michigan","04-27-2022","WOAH Non-Poultry","80"
"Kossuth","Iowa","04-26-2022","WOAH Non-Poultry","4"
"Richland","North Dakota","04-26-2022","WOAH Poultry","20"
"Lancaster","Pennsylvania","04-26-2022","Commercial Table Egg Layer","307400"
"Missoula","Montana","04-26-2022","WOAH Non-Poultry","70"
"Rice","Minnesota","04-25-2022","WOAH Non-Poultry","90"
"Cache","Utah","04-25-2022","Commercial Table Egg Layer","1501200"
"Stearns","Minnesota","04-25-2022","Commercial Turkey Meat Bird","14600"
"Menominee","Michigan","04-25-2022","WOAH Non-Poultry","40"
"Routt","Colorado","04-24-2023","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-23-2022","WOAH Non-Poultry","40"
"Yellow Medicine","Minnesota","04-22-2022","Commercial Turkey Meat Bird","49500"
"Swift","Minnesota","04-22-2022","Commercial Turkey Meat Bird","127400"
"Lancaster","Pennsylvania","04-22-2022","Commercial Broiler Production","50300"
"Otter Tail","Minnesota","04-22-2022","Commercial Turkey Meat Bird","27300"
"Renville","North Dakota","04-21-2022","WOAH Non-Poultry","70"
"Morrison","Minnesota","04-21-2022","Commercial Turkey Meat Bird","40900"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","19700"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","37000"
"Richland","North Dakota","04-21-2022","Commercial Turkey Meat Bird","27500"
"Bremer","Iowa","04-21-2022","Commercial Turkey Meat Bird","29200"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","62800"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30300"
"Glacier","Montana","04-20-2022","WOAH Poultry","54200"
"Madison","Idaho","04-20-2022","WOAH Poultry","200"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30100"
"Elkhart","Indiana","04-20-2022","Commercial Duck Meat Bird","6600"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","879400"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","72000"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","1127700"
"Dickey","North Dakota","04-19-2023","Commercial Turkey Meat Bird","58500"
"Beadle","South Dakota","04-19-2023","Commercial Turkey Meat Bird","75800"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","47700"
"Otter Tail","Minnesota","04-19-2022","Commercial Turkey Meat Bird","29700"
"Gooding","Idaho","04-19-2022","WOAH Non-Poultry","80"
"Stutsman","North Dakota","04-19-2022","WOAH Poultry","20"
"La Plata","Colorado","04-19-2022","WOAH Poultry","40"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","17600"
"Montrose","Colorado","04-19-2022","Commercial Broiler Breeder","58000"
"Swift","Minnesota","04-19-2022","Commercial Turkey Meat Bird","31600"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","35700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","58100"
"Meeker","Minnesota","04-19-2022","Commercial Turkey Meat Bird","53000"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","38700"
"Kings","New York","04-18-2023","Live Bird Market","1400"
"Moffat","Colorado","04-17-2023","WOAH Non-Poultry","80"
"Bonneville","Idaho","04-17-2023","WOAH Non-Poultry","40"
