"County","State","Outbreak Date","Flock Type","Flock Size"
"Putnam","New York","04-17-2023","WOAH Poultry","110"
"Menominee","Michigan","04-16-2022","WOAH Non-Poultry","30"
"Polk","Wisconsin","04-15-2022","Commercial Turkey Meat Bird","22000"
"Lancaster","Pennsylvania","04-15-2022","Commercial Table Egg Layer","1380500"
"Livingston","Michigan","04-15-2022","WOAH Non-Poultry","20"
"Macomb","Michigan","04-15-2022","WOAH Non-Poultry","40"
"Utah","Utah","04-15-2022","WOAH Non-Poultry","7"
"Sheridan","Nebraska","04-14-2023","WOAH Non-Poultry","10"
"Rosebud","Montana","04-14-2023","WOAH Non-Poultry","0"
"Lamoure","North Dakota","04-14-2022","WOAH Non-Poultry","10"
"Elkhart","Indiana","04-14-2022","Commercial Duck Breeder","6400"
"Blue Earth","Minnesota","04-14-2022","Commercial Turkey Meat Bird","26400"
"Meeker","Minnesota","04-14-2022","Commercial Turkey Meat Bird","73200"
"Caribou","Idaho","04-14-2022","WOAH Non-Poultry","7"
"Gooding","Idaho","04-14-2022","WOAH Poultry","20"
"Sheboygan","Wisconsin","04-14-2022","WOAH Non-Poultry","20"
"Columbia","Wisconsin","04-14-2022","WOAH Non-Poultry","70"
"Deuel","South Dakota","04-13-2022","Commercial Upland Gamebird Producer","1400"
"Waseca","Minnesota","04-13-2022","Commercial Turkey Meat Bird","20300"
"Benton","Minnesota","04-13-2022","WOAH Non-Poultry","7"
"Barnes","North Dakota","04-13-2022","WOAH Poultry","90"
"Menominee","Michigan","04-13-2022","WOAH Poultry","350"
"Mcpherson","Kansas","04-13-2022","Commercial Turkey Breeder Hens","6900"
"Otter Tail","Minnesota","04-13-2022","Commercial Turkey Meat Bird","35700"
"Blue Earth","Minnesota","04-13-2022","Commercial Turkey Meat Bird","22700"
"Modoc","California","04-12-2023","WOAH Non-Poultry","60"
"Pueblo","Colorado","04-12-2023","WOAH Non-Poultry","30"
"Putnam","New York","04-12-2023","WOAH Poultry","200"
"Morrison","Minnesota","04-12-2022","Commercial Broiler Production","42900"
"Dixon","Nebraska","04-12-2022","Commercial Table Egg Layer","1746900"
"Wayne","North Carolina","04-12-2022","Commercial Broiler Production","89700"
"Barron","Wisconsin","04-12-2022","Commercial Turkey Meat Bird","46500"
"Benton","Minnesota","04-12-2022","WOAH Non-Poultry","130"
"Morrison","Minnesota","04-12-2022","Commercial Table Egg Layer","216200"
"Morrison","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37600"
"Sheridan","North Dakota","04-12-2022","WOAH Non-Poultry","30"
"Kandiyohi","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37100"
"Toole","Montana","04-12-2022","WOAH Non-Poultry","20"
"Yellow Medicine","Minnesota","04-12-2022","Commercial Turkey Meat Bird","44800"
"Menominee","Michigan","04-11-2022","WOAH Non-Poultry","70"
"Mitchell","Kansas","04-10-2023","WOAH Non-Poultry","30"
"Le Sueur","Minnesota","04-09-2022","Commercial Turkey Meat Bird","37800"
"Yankton","South Dakota","04-09-2022","Commercial Turkey Meat Bird","76100"
"Swift","Minnesota","04-09-2022","Commercial Turkey Meat Bird","130900"
"Stearns","Minnesota","04-09-2022","Commercial Turkey Meat Bird","26100"
"Stutsman","North Dakota","04-08-2022","WOAH Poultry","40"
"Clark","South Dakota","04-08-2022","Commercial Turkey Meat Bird","38700"
"Elkhart","Indiana","04-08-2022","Commercial Duck Breeder","4700"
"Renville","Minnesota","04-08-2022","Commercial Turkey Meat Bird","76400"
"Edmunds","South Dakota","04-08-2022","Commercial Turkey Meat Bird","36400"
"Pitkin","Colorado","04-08-2022","WOAH Poultry","30"
"Otter Tail","Minnesota","04-08-2022","Commercial Turkey Meat Bird","29900"
"Judith Basin","Montana","04-07-2022","WOAH Non-Poultry","20"
"Cascade","Montana","04-07-2022","WOAH Poultry","22000"
"Wayne","North Carolina","04-07-2022","Commercial Turkey Meat Bird","18500"
"Racine","Wisconsin","04-07-2022","WOAH Poultry","220"
"Kandiyohi","Minnesota","04-07-2022","Commercial Turkey Breeder Hens","20800"
"Waseca","Minnesota","04-06-2022","Commercial Turkey Meat Bird","17900"
"Fulton","New York","04-06-2022","WOAH Non-Poultry","4"
"Park","Wyoming","04-06-2022","WOAH Non-Poultry","100"
"Mcpherson","South Dakota","04-06-2022","Commercial Turkey Meat Bird","45900"
"Dade","Missouri","04-06-2022","Commercial Turkey Meat Bird","14000"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","65600"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","216000"
"Queens","New York","04-05-2023","Live Bird Market","1300"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","26200"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","105300"
"Orleans","New York","04-05-2022","WOAH Poultry","30"
"Meeker","Minnesota","04-05-2022","Commercial Turkey Meat Bird","128500"
"Spink","South Dakota","04-05-2022","Commercial Turkey Meat Bird","26300"
"Waldo","Maine","04-05-2022","WOAH Non-Poultry","50"
"Scotts Bluff","Nebraska","04-05-2022","WOAH Non-Poultry","30"
"Faulk","South Dakota","04-05-2022","Commercial Turkey Meat Bird","48000"
"Cass","North Dakota","04-05-2022","WOAH Non-Poultry","110"
"Wayne","North Carolina","04-05-2022","Commercial Turkey Meat Bird","14200"
"Big Stone","Minnesota","04-05-2022","Commercial Turkey Meat Bird","49500"
"Sheridan","Wyoming","04-05-2022","WOAH Non-Poultry","50"
"Lawrence","Missouri","04-05-2022","Commercial Turkey Meat Bird","27600"
"Hardin","Iowa","04-05-2022","Commercial Turkey Meat Bird","46000"
"Beadle","South Dakota","04-05-2022","Commercial Turkey Meat Bird","55600"
"Clark","South Dakota","04-05-2022","Commercial Turkey Meat Bird","24000"
"Stearns","Minnesota","04-05-2022","Commercial Turkey Meat Bird","40800"
"Waseca","Minnesota","04-05-2022","Commercial Turkey Meat Bird","25500"
"Becker","Minnesota","04-04-2022","Commercial Turkey Meat Bird","44700"
"Lamoure","North Dakota","04-04-2022","Commercial Turkey Meat Bird","50900"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Meat Bird","38500"
"Morrison","Minnesota","04-04-2022","Commercial Turkey Meat Bird","32400"
"Mcpherson","South Dakota","04-04-2022","Commercial Turkey Meat Bird","61000"
"Hamilton","Iowa","04-04-2022","Commercial Turkey Poult Supplier","8100"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","48500"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","20400"
"Le Sueur","Minnesota","04-03-2023","WOAH Non-Poultry","100"
"Erath","Texas","04-03-2022","Commercial Upland Gamebird Producer","1700"
"Dodge","Minnesota","04-03-2022","Commercial Turkey Meat Bird","20000"
"Le Sueur","Minnesota","04-03-2022","Commercial Turkey Meat Bird","19600"
"Wayne","North Carolina","04-02-2022","Commercial Turkey Meat Bird","16900"
"Humboldt","Iowa","04-02-2022","Commercial Table Egg Breeder","15300"
"Spink","South Dakota","04-02-2022","Commercial Turkey Meat Bird","41800"
"Lake","South Dakota","04-02-2022","Commercial Turkey Meat Bird","59000"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","9500"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","18900"
"Stearns","Minnesota","04-02-2022","Commercial Turkey Meat Bird","27600"
"Lamoure","North Dakota","04-02-2022","Commercial Turkey Meat Bird","27400"
"Sac","Iowa","04-02-2022","Commercial Turkey Meat Bird","37200"
"Jasper","Missouri","04-01-2022","Commercial Turkey Meat Bird","35300"
"Rock","Wisconsin","04-01-2022","WOAH Non-Poultry","20"
"Fremont","Wyoming","04-01-2022","WOAH Non-Poultry","50"
"Charles Mix","South Dakota","04-01-2022","Commercial Turkey Meat Bird","81500"
"Edmunds","South Dakota","04-01-2022","Commercial Turkey Breeder Replacement Hens","30600"
"Dickey","North Dakota","04-01-2022","Commercial Turkey Meat Bird","60700"
"Cherokee","Iowa","03-31-2022","Commercial Turkey Meat Bird","88000"
"Morrison","Minnesota","03-31-2022","Commercial Turkey Meat Bird","52600"
"Osceola","Iowa","03-31-2022","Commercial Table Egg Layer","5011700"
"Mcpherson","South Dakota","03-31-2022","Commercial Turkey Breeder Hens","26000"
"Carroll","Illinois","03-31-2022","WOAH Non-Poultry","40"
"Dickey","North Dakota","03-31-2022","WOAH Poultry","30"
"Stearns","Minnesota","03-31-2022","WOAH Non-Poultry","150"
"Umatilla","Oregon","03-30-2023","WOAH Non-Poultry","50"
"Lincoln","Maine","03-30-2022","WOAH Non-Poultry","3"
"Park","Wyoming","03-30-2022","WOAH Non-Poultry","40"
"Buena Vista","Iowa","03-30-2022","Commercial Turkey Meat Bird","35600"
"Brule","South Dakota","03-30-2022","Commercial Turkey Meat Bird","55100"
"Lac Qui Parle","Minnesota","03-29-2022","Commercial Turkey Meat Bird","22500"
"Bon Homme","South Dakota","03-29-2022","Commercial Turkey Meat Bird","48200"
"Johnson","Wyoming","03-29-2022","WOAH Non-Poultry","40"
"Edmunds","South Dakota","03-29-2022","Commercial Turkey Breeder Hens","21900"
"Monroe","New York","03-29-2022","WOAH Poultry","400"
"Spink","South Dakota","03-29-2022","Commercial Turkey Meat Bird","45900"
"Franklin","Ohio","03-29-2022","WOAH Non-Poultry","8"
"Kidder","North Dakota","03-29-2022","WOAH Poultry","30"
"Knox","Maine","03-29-2022","WOAH Non-Poultry","40"
"Kandiyohi","Minnesota","03-29-2022","Commercial Turkey Meat Bird","39500"
"Berkshire","Massachusetts","03-29-2022","WOAH Non-Poultry","260"
"Johnston","North Carolina","03-29-2022","Commercial Turkey Meat Bird","32100"
"Yuma","Colorado","03-28-2023","WOAH Poultry","310"
"Guthrie","Iowa","03-28-2022","Commercial Table Egg Layer","1460000"
"Hamilton","Iowa","03-28-2022","Commercial Turkey Meat Bird","25800"
"Hutchinson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","39200"
"Mcpherson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43900"
"Clark","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43100"
"Holt","Nebraska","03-26-2022","WOAH Non-Poultry","50"
"Bon Homme","South Dakota","03-26-2022","WOAH Non-Poultry","230"
"Stearns","Minnesota","03-26-2022","Commercial Turkey Meat Bird","23500"
"Gentry","Missouri","03-26-2022","WOAH Non-Poultry","140"
"Meeker","Minnesota","03-26-2022","Commercial Turkey Meat Bird","287500"
"Mower","Minnesota","03-26-2022","WOAH Non-Poultry","20"
"Washington","Maine","03-26-2022","WOAH Non-Poultry","20"
"Mitchell","Kansas","03-25-2022","WOAH Non-Poultry","20"
"Suffolk","New York","03-25-2022","WOAH Poultry","290"
"Franklin","Iowa","03-25-2022","Commercial Table Egg Pullets","250200"
"Hutchinson","South Dakota","03-25-2022","Commercial Turkey Meat Bird","45800"
"Arapahoe","Colorado","03-24-2023","WOAH Non-Poultry","10"
"Ellsworth","Kansas","03-24-2023","WOAH Non-Poultry","50"
"Buena Vista","Iowa","03-24-2022","Commercial Turkey Meat Bird","53800"
"Macomb","Michigan","03-24-2022","WOAH Non-Poultry","70"
"Butler","Nebraska","03-24-2022","Commercial Broiler Production","418500"
"Jerauld","South Dakota","03-24-2022","Commercial Turkey Meat Bird","44000"
"Lapeer","Michigan","03-23-2023","WOAH Poultry","950"
"Kingsbury","South Dakota","03-23-2022","Commercial Table Egg Layer","120300"
"Edmunds","South Dakota","03-23-2022","Commercial Turkey Breeder Hens","30800"
"Beadle","South Dakota","03-23-2022","Commercial Turkey Meat Bird","49900"
"Suffolk","New York","03-23-2022","Commercial Upland Gamebird Producer","8500"
"Spink","South Dakota","03-22-2023","Commercial Upland Gamebird Producer","570"
"Queens","New York","03-22-2023","Live Bird Market","140"
"Tompkins","New York","03-22-2023","WOAH Poultry","6500"
"Hale","Texas","03-22-2023","WOAH Non-Poultry","20"
"Klamath","Oregon","03-22-2023","WOAH Non-Poultry","30"
"Hanson","South Dakota","03-22-2022","Commercial Turkey Meat Bird","94600"
"Beadle","South Dakota","03-22-2022","Commercial Turkey Meat Bird","29400"
"Cumberland","Maine","03-22-2022","WOAH Poultry","250"
"Butler","Nebraska","03-22-2022","Commercial Broiler Production","570000"
"Charles Mix","South Dakota","03-22-2022","Commercial Turkey Meat Bird","53800"
"Washington","New York","03-21-2023","WOAH Non-Poultry","50"
"Hillsborough","Florida","03-21-2023","Live Bird Market","340"
"Deaf Smith","Texas","03-20-2024","WOAH Non-Poultry","50"
"Hutchinson","South Dakota","03-20-2022","Commercial Turkey Meat Bird","50400"
"Warren","Iowa","03-20-2022","WOAH Non-Poultry","10"
"York","Maine","03-19-2022","WOAH Non-Poultry","70"
"Knox","Maine","03-19-2022","WOAH Non-Poultry","20"
"Knox","Maine","03-18-2024","WOAH Non-Poultry","40"
"Hanson","South Dakota","03-18-2022","Commercial Turkey Meat Bird","20200"
"Cecil","Maryland","03-18-2022","Commercial Table Egg Pullets","315400"
"Dickinson","Kansas","03-18-2022","WOAH Poultry","250"
"Kingsbury","South Dakota","03-18-2022","Commercial Turkey Meat Bird","39200"
"Lancaster","Pennsylvania","03-17-2023","WOAH Poultry","2500"
"Lincoln","Maine","03-17-2022","WOAH Non-Poultry","30"
"Buena Vista","Iowa","03-17-2022","Commercial Table Egg Layer","5347500"
"Kent","Delaware","03-17-2022","Commercial Broiler Production","147800"
"Sedgwick","Kansas","03-17-2022","WOAH Non-Poultry","6"
"Monroe","Mississippi","03-16-2023","WOAH Non-Poultry","30"
"Maries","Missouri","03-16-2023","WOAH Non-Poultry","10"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","1600"
"Chester","Pennsylvania","03-16-2023","Commercial Turkey Meat Bird","11800"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","2400"
"Rockingham","New Hampshire","03-16-2022","WOAH Non-Poultry","150"
"Mifflin","Pennsylvania","03-15-2023","WOAH Non-Poultry","60"
"Chickasaw","Iowa","03-15-2023","WOAH Non-Poultry","50"
"Ralls","Missouri","03-15-2022","WOAH Non-Poultry","100"
"Merrick","Nebraska","03-15-2022","WOAH Non-Poultry","90"
"Klamath","Oregon","03-14-2024","WOAH Non-Poultry","10"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3000"
"Eaton","Michigan","03-14-2023","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3900"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3000"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","2400"
"York","Maine","03-14-2022","WOAH Non-Poultry","180"
"Jefferson","Wisconsin","03-14-2022","Commercial Table Egg Layer","2750700"
"Lancaster","Pennsylvania","03-13-2023","WOAH Poultry","6000"
"Hutchinson","South Dakota","03-12-2024","Commercial Turkey Meat Bird","31200"
"Lincoln","Maine","03-12-2022","WOAH Non-Poultry","100"
"Charles Mix","South Dakota","03-12-2022","Commercial Turkey Meat Bird","37500"
"Clay","Minnesota","03-11-2024","WOAH Non-Poultry","80"
"Moore","Texas","03-11-2024","WOAH Non-Poultry","280"
"Mclean","Illinois","03-11-2022","WOAH Non-Poultry","40"
"Franklin","Kansas","03-11-2022","WOAH Poultry","260"
"Taylor","Iowa","03-10-2022","Commercial Table Egg Layer","915900"
"Cecil","Maryland","03-10-2022","Commercial Table Egg Layer","663400"
"Lawrence","Missouri","03-09-2022","Commercial Turkey Breeder Replacement Hens","37800"
"Jasper","Missouri","03-08-2022","Commercial Turkey Meat Bird","25000"
"New Castle","Delaware","03-08-2022","Commercial Table Egg Pullets","243900"
"Queen Anne's","Maryland","03-08-2022","Commercial Broiler Production","139300"
"Essex","Massachusetts","03-07-2024","WOAH Poultry","70"
"Rockingham","Virginia","03-07-2023","WOAH Non-Poultry","250"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","1800"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","6000"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","310"
"Bingham","Idaho","03-06-2023","WOAH Non-Poultry","10"
"Bucks","Pennsylvania","03-06-2023","WOAH Poultry","1700"
"Buena Vista","Iowa","03-06-2022","Commercial Turkey Meat Bird","49800"
"Charles Mix","South Dakota","03-05-2022","Commercial Turkey Meat Bird","44100"
"Lancaster","Pennsylvania","03-04-2023","Commercial Turkey Meat Bird","19600"
"Chester","Pennsylvania","03-04-2023","WOAH Poultry","6900"
"Northumberland","Pennsylvania","03-04-2023","WOAH Poultry","680"
"Lancaster","Pennsylvania","03-04-2023","Commercial Duck Breeder","11300"
"Lancaster","Pennsylvania","03-04-2023","Commercial Turkey Meat Bird","26600"
"Bates","Missouri","03-04-2022","WOAH Non-Poultry","50"
"Stoddard","Missouri","03-04-2022","Commercial Broiler Production","294800"
"Cecil","Maryland","03-04-2022","Commercial Table Egg Layer","644000"
"Chester","Pennsylvania","03-03-2023","WOAH Poultry","5200"
"Douglas","Nevada","03-03-2023","WOAH Non-Poultry","20"
"Dubois","Indiana","03-02-2022","Commercial Turkey Meat Bird","16500"
"New London","Connecticut","03-01-2022","WOAH Non-Poultry","160"
"Pottawattamie","Iowa","03-01-2022","WOAH Non-Poultry","40"
"Miami-dade","Florida","02-28-2023","Live Bird Market","510"
"Mahoning","Ohio","02-27-2024","WOAH Non-Poultry","140"
"Stevens","Minnesota","02-27-2024","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","02-27-2023","WOAH Poultry","4400"
"Monroe","New York","02-26-2024","WOAH Non-Poultry","20"
"Wayne","Illinois","02-24-2023","Commercial Turkey Meat Bird","18200"
"Chester","Pennsylvania","02-24-2023","WOAH Poultry","3400"
"Lancaster","Pennsylvania","02-24-2023","WOAH Poultry","4000"
"Dutchess","New York","02-24-2022","WOAH Non-Poultry","200"
"Ulster","New York","02-24-2022","WOAH Non-Poultry","70"
"Dubois","Indiana","02-24-2022","Commercial Turkey Meat Bird","36000"
"Allen","Indiana","02-23-2024","WOAH Non-Poultry","50"
"Dallas","Missouri","02-23-2024","WOAH Poultry","20300"
"Onondaga","New York","02-23-2024","WOAH Non-Poultry","10"
"Alexandria City","Virginia","02-23-2023","Live Bird Market","800"
"Lancaster","Pennsylvania","02-23-2023","WOAH Poultry","2000"
"Moffat","Colorado","02-23-2023","WOAH Non-Poultry","40"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","15400"
"Kalamazoo","Michigan","02-23-2022","WOAH Non-Poultry","30"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","48200"
"Knox","Maine","02-23-2022","WOAH Non-Poultry","100"
"Charles","Maryland","02-22-2024","WOAH Non-Poultry","30"
"Lancaster","Pennsylvania","02-22-2023","WOAH Poultry","4200"
"New Castle","Delaware","02-22-2022","Commercial Table Egg Layer","1046900"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","28500"
"Franklin","Ohio","02-21-2024","WOAH Non-Poultry","10"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","12300"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","31000"
"Lancaster","Pennsylvania","02-21-2023","Commercial Broiler Production","97700"
"Lincoln","Nebraska","02-21-2023","WOAH Poultry","420"
"Duplin","North Carolina","02-20-2024","Commercial Turkey Meat Bird","20900"
"Knox","Maine","02-19-2022","WOAH Non-Poultry","30"
"Suffolk","New York","02-18-2022","WOAH Non-Poultry","8"
"Copiah","Mississippi","02-17-2023","WOAH Poultry","50"
"San Joaquin","California","02-17-2023","WOAH Non-Poultry","160"
"Tioga","Pennsylvania","02-17-2023","WOAH Non-Poultry","50"
"Kanawha","West Virginia","02-16-2024","WOAH Non-Poultry","250"
"Dubois","Indiana","02-16-2022","Commercial Turkey Meat Bird","26600"
"Columbia","New York","02-15-2023","WOAH Poultry","250"
"Webster","Kentucky","02-15-2022","Commercial Turkey Meat Bird","53300"
"Hillsborough","Florida","02-14-2023","WOAH Non-Poultry","10"
"Benton","Washington","02-14-2023","WOAH Non-Poultry","60"
"Doniphan","Kansas","02-13-2023","WOAH Non-Poultry","30"
"Carroll","Missouri","02-13-2023","WOAH Non-Poultry","9"
"Schuylkill","Pennsylvania","02-12-2024","WOAH Non-Poultry","30"
"Twin Falls","Idaho","02-12-2024","WOAH Non-Poultry","20"
"Fauquier","Virginia","02-12-2022","WOAH Non-Poultry","90"
"Fulton","Kentucky","02-12-2022","Commercial Broiler Production","231400"
"Lenoir","North Carolina","02-09-2024","Commercial Turkey Meat Bird","32400"
"Delta","Colorado","02-08-2024","Commercial Broiler Breeder","66500"
"Owyhee","Idaho","02-08-2024","WOAH Non-Poultry","9"
"Miami-dade","Florida","02-08-2024","Live Bird Market","1500"
"Lancaster","Pennsylvania","02-08-2023","WOAH Poultry","20300"
"Mitchell","Kansas","02-08-2023","Commercial Upland Gamebird Producer","17000"
"Dubois","Indiana","02-08-2022","Commercial Turkey Meat Bird","29000"
"Allegheny","Pennsylvania","02-07-2023","WOAH Non-Poultry","20"
"Leake","Mississippi","02-07-2023","Commercial Broiler Production","89800"
"Gage","Nebraska","02-06-2024","Commercial Broiler Production","102000"
"Wayne","Pennsylvania","02-06-2024","WOAH Non-Poultry","360"
"Essex","Massachusetts","02-06-2024","WOAH Non-Poultry","20"
"Merced","California","02-06-2023","Commercial Duck Breeder","29100"
"Hancock","Maine","02-06-2023","WOAH Non-Poultry","30"
"Park","Wyoming","02-06-2023","WOAH Non-Poultry","10"
"Kennebec","Maine","02-06-2023","WOAH Non-Poultry","40"
"Placer","California","02-06-2023","WOAH Non-Poultry","30"
"San Joaquin","California","02-06-2023","WOAH Non-Poultry","8"
"Lancaster","Pennsylvania","02-01-2023","Commercial Duck Meat Bird","32800"
"Lancaster","Pennsylvania","02-01-2023","WOAH Poultry","2700"
"Placer","California","01-31-2024","WOAH Non-Poultry","20"
"Hancock","Maine","01-27-2023","WOAH Non-Poultry","40"
"De Soto","Florida","01-26-2024","WOAH Non-Poultry","660"
"Kennebec","Maine","01-25-2024","WOAH Non-Poultry","40"
"Daviess","Indiana","01-25-2024","Commercial Turkey Meat Bird","13100"
"Rowan","North Carolina","01-25-2023","WOAH Non-Poultry","2"
"Polk","Oregon","01-25-2023","WOAH Non-Poultry","20"
"Suffolk","New York","01-25-2023","WOAH Non-Poultry","10"
"Buena Vista","Iowa","01-25-2023","Commercial Turkey Meat Bird","27700"
"Rockingham","Virginia","01-25-2023","Commercial Turkey Meat Bird","11100"
"Edmunds","South Dakota","01-23-2024","Commercial Upland Gamebird Producer","22200"
"Belknap","New Hampshire","01-23-2023","WOAH Non-Poultry","40"
"Orangeburg","South Carolina","01-22-2024","WOAH Non-Poultry","40"
"Mitchell","Kansas","01-22-2024","Commercial Upland Gamebird Producer","5800"
"Larimer","Colorado","01-20-2023","WOAH Non-Poultry","70"
"Weakley","Tennessee","01-20-2023","Commercial Broiler Production","267800"
"El Dorado","California","01-19-2023","WOAH Non-Poultry","20"
"Snohomish","Washington","01-19-2023","WOAH Non-Poultry","20"
"Rockingham","Virginia","01-19-2023","Commercial Turkey Meat Bird","25300"
"Merced","California","01-18-2024","Commercial Table Egg Pullets","285600"
"Lampasas","Texas","01-18-2023","WOAH Poultry","70"
"Licking","Ohio","01-18-2023","WOAH Non-Poultry","30"
"Horry","South Carolina","01-17-2024","WOAH Non-Poultry","190"
"Mitchell","Kansas","01-17-2023","Commercial Upland Gamebird Producer","6900"
"Spink","South Dakota","01-16-2024","Commercial Raised for Release Upland Game Bird","1900"
"Mitchell","Kansas","01-16-2024","WOAH Poultry","220"
"Cascade","Montana","01-16-2024","WOAH Non-Poultry","50"
"Barnstable","Massachusetts","01-16-2024","WOAH Non-Poultry","150"
"Tehama","California","01-12-2023","WOAH Poultry","23700"
"Mitchell","Kansas","01-11-2024","Commercial Raised for Release Upland Game Bird","1400"
"Douglas","Oregon","01-11-2023","WOAH Non-Poultry","0"
"Sherburne","Minnesota","01-10-2024","WOAH Non-Poultry","10"
"Mitchell","Kansas","01-10-2024","Commercial Upland Gamebird Producer","32000"
"York","Maine","01-10-2024","WOAH Non-Poultry","60"
"Mitchell","Kansas","01-10-2024","Commercial Upland Gamebird Producer","3700"
"Cascade","Montana","01-10-2023","WOAH Non-Poultry","10"
"Scotts Bluff","Nebraska","01-09-2023","WOAH Non-Poultry","7"
"San Joaquin","California","01-09-2023","WOAH Non-Poultry","10"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","20"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","6"
"Arapahoe","Colorado","01-08-2024","WOAH Non-Poultry","20"
"Sacramento","California","01-08-2024","WOAH Non-Poultry","30"
"Merced","California","01-08-2024","WOAH Non-Poultry","30"
"Weld","Colorado","01-06-2023","WOAH Non-Poultry","40"
"Thurston","Washington","01-06-2023","WOAH Non-Poultry","120"
"Washburn","Wisconsin","01-05-2024","Commercial Turkey Meat Bird","41000"
"Codington","South Dakota","01-05-2023","WOAH Poultry","140"
"Rice","Kansas","01-04-2024","Commercial Table Egg Pullets","240000"
"Anderson","Kansas","01-04-2023","Commercial Upland Gamebird Producer","8900"
"Johnson","Missouri","01-04-2023","WOAH Non-Poultry","30"
"Josephine","Oregon","01-04-2023","WOAH Non-Poultry","30"
"Merced","California","01-03-2024","Commercial Table Egg Layer","764300"
"Sonoma","California","01-03-2024","Commercial Broiler Production","77900"
"Merced","California","01-03-2024","Commercial Broiler Production","534800"
